"","acreana","acrocephala","acuminata","alata","alba","aria","auristellae","bourgonii","brachyrhachis.aff","brachystachys","brachystachys.aff","brevialata","brevipes","capitata12","capitata33","capitata35","cayennensis","chartacea","cinnamomea","cocleensis","cordatoalata","coruscans","cylindrica","edulis","fastuosa","flagelliformis","fosteriana","glomeriflora","goldmanii","gracilifolia","grandiflora","heterophylla","huberi","ingoides","jenmanii","kursarii","LA17","LA41","LA48","lateriflora","laurina","leiocalycina","leiocalycina.aff","lomatophylla","longiflora","longipedunculata","loubryana","M18","M25","M27b","M30","M71","marginata","melinonis","microcoma","multinervis","no phylogney","nobilis","nouragensis","obidensis","oerstediana","paraensis","pezizifera","pezizifera.aff","pitmanii","poeppigiana","punctata","retinocarpa","rubiginosa","ruiziana","sapindoides","sertulifera","setosa","spectabilis","splendens","stipularis","striata","suaveolens","subcapitata","T18","T21","T29","T50","T51","T82","T85","T88","tenuistipula","thibaudiana","tomentosa","ulei","umbellifera","umbellifera.aff","umbratica","velutina","venusta","vera","virgultosa","vismiifolia","Zygia mediana"
"acreana",1,0.38200612408583,0,0.114921338787433,0.0258998747082066,0,0.492446510839934,0.207257794544687,0.0130577152844087,0,0,0,0,0,0.0742833296360672,0.0532259347805478,5.46647249881029e-05,0.387708002565875,0,5.46647249881029e-05,0.119132999029642,0.174981746762317,0.149005522337543,0.119959980298068,5.46647249881029e-05,0,0,0.0221842269461248,0,0,5.46647249881029e-05,0,0.0385368781574473,0.0635418452311727,0,0,0.0816641607619176,0,0,0,0.160793041845296,5.46647249881029e-05,0,0.0589156909920949,0,0,0,0.257898911263244,0.20250882304522,0,0,5.46647249881029e-05,0.256285150344454,0.400744767235917,0.161739662082117,0.349131067502235,0,0.165898402883599,0.144655454974672,0,0,0.153827231432008,0.0963399260632195,0.117338037479558,0.476361453203875,0.00868996987847683,5.46647249881029e-05,0,5.46647249881029e-05,0,0.0351429317827875,0,5.46647249881029e-05,0,0,0.106502186341238,0.0482520993905191,5.46647249881029e-05,0,0.248248708880929,0.0694267591690819,0.226191956783247,0,0.127792567926455,0.106556851066226,0,0,0,5.46647249881029e-05,0.553930173658807,0,0,0,0,0,0,0,0,0,0.0520399044203779
"acrocephala",0.38200612408583,1,0,0.0995454123721533,0.02890021204076,0,0.432384410708589,0.284353813055352,0.0169872450093499,0,0,0,0,0.00189942946763844,0.0785232076767481,0.0596783816430633,0,0.749376241969405,0,0,0.120550743818108,0.165731899054014,0.143920287601387,0.128658943195997,0,0,0,0.0255108497028261,0,0,0,0,0.0419065244160808,0.0711062703542547,0,0,0.0715977198376252,0,0,0,0.144580970633854,0,0,0.0632852898529711,0,0,0,0.269523949656309,0.202103202744831,0,0,0,0.250149876573884,0.460473030451132,0.199772713293961,0.528413189551941,0,0.185671723848807,0.13838614015116,0,0,0.156787160542672,0.0911387106943173,0.0980080988864595,0.321427953067782,0.0133416010320456,0,0,0,0,0.0390493574985887,0,0,0,0,0.0870895554859716,0.0525138618023471,0,0,0.409410676816777,0.0709000261444663,0.189879049164972,0,0.128996051386165,0.0870895554859716,0,0,0,0,0.396970765303476,0,0,0,0,0,0,0,0,0,0.0560793875385535
"acuminata",0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"alata",0.114921338787433,0.0995454123721533,0,1,0.0335370891346088,0,0.116163551882446,0.0756920905630468,0.0140407808044362,0,0,0,0,0,0.0604132348153161,0.048078877504949,0.000130626120573851,0.109788485347259,0,0.000130626120573851,0.0795584738659295,0.130143356208647,0.130341799962638,0.0748597833987414,0.000130626120573851,0,0,0.0217597501567872,0,0,0.000130626120573851,0,0.055050917475103,0.106120023579056,0,0,0.182712329166532,0,0,0,0.127265225574334,0.000130626120573851,0,0.0570353835214413,0,0,0,0.0961037342766652,0.0955757716889162,0,0,0.000130626120573851,0.100079352475486,0.0963261686746929,0.0692215121383334,0.0828787726084209,0,0.0801925029919216,0.119284992313311,0,0,0.114550900728111,0.295961343270388,0.620431903705334,0.0904400138553326,0.00881273423297382,0.000130626120573851,0,0.000983627064165591,0,0.0393282974311497,0,0.000130626120573851,0,0,0.0634063549565028,0.0664667812159449,0.000130626120573851,0,0.0599694121853472,0.115583155780665,0.0694824872267237,0,0.105423613954117,0.0630563750749145,0,0,0,0.000130626120573851,0.128076129914086,0,0,0,0,0,0,0,0,0,0.0473929433603333
"alba",0.0258998747082066,0.02890021204076,0,0.0335370891346088,1,0,0.0283590837549903,0.0304700195853974,0.172423914966552,0,0,0,0,0,0.125584894416327,0.100032165747251,0.00335808420489502,0.0286278071210144,0,0.00335808420489502,0.0340619133696992,0.0341490490142451,0.0336210739055502,0.0403138738446479,0.00335808420489502,0,0,0.0974239344402071,0,0,0.00340406338159324,0,0.282408001119671,0.154291119315971,0,0,0.0202252051883454,0,0,0,0.0320259532266934,0.00335808420489502,0,0.225048954354044,0,0,0,0.0272253079149491,0.0261584318801508,0,0,0.00335808420489502,0.0280431374347893,0.0262700837726565,0.0259465556220391,0.027045263205707,0,0.0282390814382357,0.0327459571889227,0,0,0.0326625229209078,0.0429753314300074,0.0276139524985233,0.0269382958216978,0.0201112505362083,0.00335808420489502,0,0.00335808420489502,0,0.263179625386182,0,0.00335808420489502,0,0,0.0147115684416068,0.114594365273481,0.00335808420489502,0,0.0265298786204149,0.253166455439723,0.0244669597188079,0,0.0404831278991259,0.0180696526465018,0,0,0,0.00335808420489502,0.0270943872267258,0,0,0,0,0,0,0,0,0,0.214081175456392
"aria",0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00114242381321297,0.000574484752959085,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.000353031825019157,0,0,0,0,0,0,0,0,0,0.0012425426172811,0,0,0,0,0,0,0,0,0,0
"auristellae",0.492446510839934,0.432384410708589,0,0.116163551882446,0.0283590837549903,0,1,0.202874872530107,0.0131562927790096,0,0,0,0,0,0.073280111576308,0.0520816693774799,0.00022134163705787,0.381453834907453,0,0.00022134163705787,0.13356492815605,0.164187813735382,0.144610590898839,0.122159393621464,0.00022134163705787,0,0,0.0220193159689967,0,0,0.00022134163705787,0,0.0404292114970933,0.0634883637752175,0,0,0.0829447409809576,0,0,0,0.147415224208863,0.00022134163705787,0,0.0585540494729679,0,0,0,0.248470636351965,0.186653951877052,0,0,0.00022134163705787,0.247202243995776,0.444755038982828,0.168227533262967,0.351141826737792,0,0.136902033319972,0.136138845387422,0,0,0.159310396729378,0.0991339694866293,0.11399393351464,0.421068985545115,0.0095932720382545,0.00386728985000239,0,0.00386728985000239,0,0.0384210330713847,0,0.00022134163705787,0,0,0.0883444400742813,0.0517746223271202,0.00022134163705787,0,0.276024127298335,0.0722683847331261,0.294402577955846,0,0.120353818473515,0.0885657817113392,0,0,0,0.00022134163705787,0.474518169951143,0,0,0,0,0,0.000458418452079728,0,0,0,0.0514404546702483
"bourgonii",0.207257794544687,0.284353813055352,0,0.0756920905630468,0.0304700195853974,0,0.202874872530107,1,0.0159213717748295,0,0,0,0,0,0.0778314205893982,0.0648671096668708,0,0.260754481141547,0,0,0.0963914882190131,0.121557711626785,0.110311007303416,0.166212057367655,0,0,0,0.0272407428652795,0,0,0,0,0.0451232877645994,0.0788812095694153,0,0,0.0584731183157014,0,0,0,0.110563565404775,0,0,0.0659163231602244,0,0,0,0.301547187325733,0.250994027413772,0,0,0,0.241013048089444,0.216587503007644,0.425421810967368,0.235105863339611,0,0.498544652246257,0.109861533898257,0,0,0.131809702145364,0.0788475459188925,0.0744478348902676,0.204135153423516,0.013756707882921,0,0,0,0,0.0399443699276512,0,0,0,0,0.0794896945576346,0.0529334049734083,0,0,0.195973444995198,0.0761284788300388,0.136958496496535,0,0.112148753688612,0.0794896945576346,0,0,0,0,0.217464272536559,0,0,0,0,0,0,0,0,0,0.0609179901411554
"brachyrhachis.aff",0.0130577152844087,0.0169872450093499,0,0.0140407808044362,0.172423914966552,0,0.0131562927790096,0.0159213717748295,1,0,0,0,0,0.261535495338343,0.295935189860089,0.221510818809835,0,0.0163909472606659,0,0,0.0157148037744377,0.0185099937812849,0.0184011611673099,0.0229794910284947,0,0,0,0.0387234057950989,0,0,0,0,0.151272144530828,0.0462481769306979,0,0,0.0102225327679471,0,0,0,0.0177209115080387,0,0,0.0638548569468581,0,0,0,0.0139571369454729,0.0129302211912848,0,0,0,0.0128805075938855,0.0129510029363319,0.0130463753128982,0.013494724481869,0,0.0156377655956028,0.0180055358491635,0,0,0.0156215992430671,0.0171736079578102,0.0124690943041453,0.01338729375388,0.0146044581895178,0,0,0.012081958078338,0,0.0360855241229055,0,0,0,0,0.0075938643722882,0.0387460121906369,0,0,0.0135306801789463,0.245905391880595,0.0125502070277053,0,0.0226110068618737,0.0075938643722882,0,0,0,0,0.0132940190021033,0,0,0,0,0,0,0,0,0,0.0485466689855218
"brachystachys",0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
